VALLU_PISTENRO;VALLU_NIMI;DIGISTOPTUNNISTE;X_KOORD;Y_KOORD;KUNTAKOODI
85884;RANNANMÄKI;172424;3252690;6751475;636
46366;PITKÄLAHTI;173008;3531150;6970189;297
1286;RUOTAANMÄKI;174043;3497932;7040912;140
1259;NEROHVIRTA;174118;3510197;7041909;140
75157;KUUSJÄRVI;176268;3598655;6956658;309
4504;NIINIMÄKITH(LEPPÄVIRTA);176608;3559905;6922071;420
4709;LEPPÄLAHTI(LIPERI);177266;3616493;6927524;426
6483;VAARASLAHTI;178125;3485974;7029369;595
6626;HUKKALA (POLVIJÄRVI);178282;3610140;6978586;607
87850;PÖLJÄN KOULU;178958;3532643;7001363;749
9582;KARJALAISENMÄKI;180034;3542760;7024956;402
9600;SUURIMÄKI(VARPAISJÄRVI);180080;3538199;7022050;402
17496;SNAPPERTUNAN KOULU;181602;3313470;6658538;710
16874;PAJULAHTI (NILSIÄ);183239;3542833;7004238;297
3029;PALLASTUNTURI;183885;3377667;7554045;498
88116;JOKILAMPI;184093;3569774;7316279;305
88183;IKEA RAISIO;184204;3238048;6718700;680
15811;AMMATTIOPPILAITOS (SEINÄJOKI);185112;3287746;6971528;743
3175;PEIPOHJA;185822;3250940;6803860;271
3735;KUSTAVI;185826;3190490;6728200;304
5287;ISKMO;185843;3229149;7022867;499
5289;KALVHOLM;185845;3232999;7020472;499
5307;SOMMARÖSUND;185853;3211043;7019899;499
15383;RANUA LAS;185952;3478145;7315037;683
5388;KERAVANJÄRVI;186087;3396240;6724538;505
124573;KORTTIONMÄKI;186147;3379700;6736313;694
122078;EERIKKILÄ TH;186231;3324006;6737042;834
84468;OYS, KAJAANINTIE;186315;3430329;7213514;564
200114;HEIKINHARJU;186331;3434194;7218173;564
200116;MURTO;186333;3437454;7193856;859
200145;ISOSYÖTE ALA-ASEMA;186363;3529238;7281363;615
200178;TIUTINEN, KÄÄNTÖPAIKKA;186395;3499178;6706355;285
200180;SUULISNIEMI/VENEKATU P;186397;3498570;6709680;285
200188;KOIVULA;186405;3493076;6712209;285
200191;TAVASTILA RAUTATIEASEMA;186408;3497740;6718079;285
200238;VUORENTAKA;186476;3358778;6768953;109
200340;MUSSALO, HARJANTAUKSENTIE;186577;3493753;6705534;285
200352;PIRTTILAHDENTIE;186587;3534760;6968959;297
4802;LOIMAA AMMATTIKOULU;186602;3284490;6756970;430
84843;KAUPPATORI 8 ETELÄÄN;186633;3434954;6905071;179
200390;OTANMÄKI;186755;3505207;7112602;205
201883;AURA (YHDYSTIE);187638;3258938;6734574;019
200507;KLAUKKALAN KOULUT;188649;3375771;6698984;543
200530;POHJANKORPI;188713;3381963;6737717;694
200709;TERVEYSKESKUS;188739;3378790;6739075;694
200564;ATOMI/PRISMA;188742;3378890;6737809;694
200726;KULOINEN;188910;3236139;6718204;680
201173;VILPPULA, PUKINLAMMI;189433;3369893;6881924;508
201872;SAUVO TH;191919;3261436;6708780;577
202984;JÄRVELÄNKATU;193880;3544630;6912890;915
202985;LATUKATU;193881;3543936;6913493;915
8049;ETELÄ-PAIPPINEN;;3404080;6702530;753
15475;VAAHERSALO;22019;3621169;6855095;740
1367;MIETTINEN;22256;3291900;6865094;143
3326;SAAKOSKI;22406;3415673;6874902;179
303;SIMANALA;22482;3603472;6882768;046
6366;PORSASKOSKITH;22644;3495040;6900259;593
7897;SÄIMEN;22918;3614758;6908379;740
6368;SIILIKOULU;22937;3503363;6909157;593
15709;LEIVONMÄKI(SAVONRANTA);23058;3607995;6914574;740
4503;NIINIMÄKI(LEPPÄVIRTA);23117;3561655;6920670;420
781;RUMMUKKALA;23184;3572399;6927515;090
6372;HAAPAKOSKI(PIEKSÄMÄKIMLK);23186;3508336;6927679;593
109;KATTELUS;23263;3333521;6934410;010
82315;LIPERI;23313;3623089;6938647;426
1665;TULLIPORTINKATU;23619;3640798;6948463;167
7980;MONNI (SIILINJÄRVI);24340;3526559;6990879;749
8000;VÄÄNÄLÄNRANTA;24366;3522170;6991963;749
16259;SÄRKIJÄRVI(SIILINJÄRVI);24388;3526886;6993036;749
7996;VEHKASUO(SIILINJÄRVI);24436;3523167;6995138;749
17416;POHJOLANMÄKI TH;24722;3530722;7005369;749
5599;SÄNKIMÄKI;24752;3545365;7007655;297
16026;YLIKOSKI(KORTESJÄRVI);25238;3302465;7033800;233
9779;KARANKAJÄRVI;25453;3501226;7065089;925
8873;YLI-PAAKKOLA;26303;3396813;7325879;845
15843;OSSAUSKOSKI;26365;3417096;7341536;845
8112;ASKA(SODANKYLÄ);26669;3486830;7466370;758
8157;VAALAJÄRVI;26687;3467250;7480250;758
8117;JEESIÖ;26713;3459500;7490500;758
8131;PETKULA;26746;3491000;7510500;758
8134;PEURASUVANTO;26752;3488419;7528221;758
5280;YLIMUONIO;26901;3353908;7552974;498
17050;KARJAA;26989;3314354;6666787;710
21051;RIIHIKALLIONKOULU;27716;3390293;6697611;858
21052;RIIHIKALLIONPORTTI;27718;3390779;6697618;858
21700;PIISPANRISTI;28550;3242852;6709811;202
17468;JOKIOINEN MAATALOUSKOULU;29452;3307774;6754676;169
964;MIEKKIÖ;29535;3424930;6756675;098
22199;UKIKOULUKESKUS;29544;3196120;6756780;895
8625;PELTOI;30643;3553120;6790820;831
7094;MYTTÄÄLÄ;30994;3350660;6806470;635
9507;ELLIVUORI TH;31097;3291100;6811897;790
15033;HANASAARI LÄNTEEN;31396;3380332;6674717;049
581;KOVERHAR;31652;3288304;6647178;078
803;OLYMPIATERMINAALI;32522;3386822;6673848;091
15155;KAUSALA;33273;3464150;6753360;142
2208;PONSA;34304;3357464;6829875;211
2332;KANNONJÄRVI;34497;3409155;6977578;216
3264;ISTUNMÄKI;35145;3472241;6955449;275
4565;RAUHALA(LIEKSA);36185;3653332;7025846;422
4932;KUOHIJOKI;36233;3382313;6801594;635
4938;PUUTIKKALA;36241;3376317;6800611;635
4958;LUUMÄKI;36267;3541920;6760060;441
5864;GRANLID;36623;3212254;6948872;545
5935;JÄRVENPÄÄ(ORIVESI);36701;3376060;6828700;562
6406;JYLHÄ(PIELAVESI);36987;3477480;7017480;595
7909;VÄRRIÖ;38177;3542700;7486600;742
8478;HALOLANMÄKI;38291;3500858;6958822;778
8565;SYDÄNMAA(SÄKYLÄ);38519;3256700;6771100;783
16305;LAAJA (TERVO);38563;3486220;6970990;844
18430;HUSULA TH;39093;3509600;6720510;075
9615;METSÄKULMA(VEHKALAHTI);39123;3501480;6725200;075
9630;SIPILÄNMÄKI;39183;3502680;6728200;075
17331;HYYNILÄ(VILJAKKALA);39357;3315670;6853440;980
10134;YLIHÄRMÄ;39399;3290180;7013230;233
7928;KIISKILAMPI;40403;3385188;7079748;746
4255;MELKKOLA;51285;3559750;6758311;405
35880;VENETMÄKI TH;51751;3485424;6914528;593
87892;NAARAJÄRVI HUOLTOKUJA;51957;3503670;6908688;593
1014;HOUTSKARI;53307;3188610;6692380;445
2491;JUONIKYLÄ;53367;3254100;6917770;232
2495;KAUHAJÄRVI(KAUHAJOKI);53371;3255673;6909687;232
5088;MELLILÄ;53551;3278540;6747890;430
15483;KOKKOLAHTI;56249;3619097;6891743;740
9272;UTSJOKI;57856;3501168;7758597;890
10212;PESSALOMPOLO;60339;3384193;7381316;976
10003;KATTILAINEN TH;73470;3521881;6717085;935
1945;PUUPPOLA;73717;3431735;6916228;179
3619;LAMPERILA;74247;3519923;6984699;297
4761;RADIOASEMA;74418;3348840;6691327;444
5703;HYRSYLÄ;74458;3336120;6701218;444
46751;AHVENKOSKI;74677;3469505;6709475;434
4751;KIRKNIEMI;74791;3330929;6678336;444
47138;PIISPANSILTA LÄNTEEN;75078;3374615;6674651;049
1500;DEGERBY TH;75129;3342918;6666676;149
1513;INNANBÄCK;75147;3337965;6664540;149
201685;KEILANIEMI;75288;3379572;6675548;049
105776;TURVESUONTIE;75295;3378611;6678419;049
202950;ILMAILUTIE;76021;3387895;6690501;092
5400;SAARI (MÄNTSÄLÄ);76193;3414226;6737040;505
16977;MONNINKYLÄ AMMATTIKOULU;76363;3419759;6710244;018
6729;ILOLA;76657;3431004;6705517;638
48682;KOSKENKYLÄ,KOULU;76696;3444537;6709122;434
48921;MUSTAMÄENTIE TH;76968;3282070;6703490;734
115869;NOUSIAINEN TH;77165;3230642;6730462;538
115870;NOUSIAINEN TH;77166;3230618;6730566;538
4990;PERÄNKYLÄ;77325;3214559;6813143;442
201380;LUVIA TH;77336;3214148;6818140;442
100069;TUORILA;77417;3217918;6874346;484
5100;KUVASKANGAS;77430;3218257;6882276;484
49610;OUTOKUMPU TEHTAAT;77731;3226057;6827946;609
369;TURAJÄRVITH;77793;3230382;6790552;050
103834;KÖYLIÖ TH;77804;3246383;6792303;319
113594;NIINISALO TH;77928;3261244;6868354;214
7114;RIIHIKOSKI TH VT. 41;78011;3259102;6743175;636
201216;VAMPULA TH;78060;3265856;6775265;102
26453;SALMENOJANJA41TH;78079;3266008;6781978;102
2325;VIHTELJÄRVI;78327;3263829;6856626;214
7794;SIRKKULA;78506;3286578;6698709;734
118772;SALO, PIIHOVIN RAMPPI (VT1;78526;3289057;6707053;734
50427;TURUNTIE TH (SOMERO);78578;3309616;6729770;761
5527;PÄRNÄS (NAUVO);78833;3206531;6684172;445
200462;LOIMAAN AMMATTIKOULU TH;79756;3284420;6756560;430
15319;HALIKON SAIRAALA TH;79883;3282264;6709780;734
8215;VIUVALA;80570;3325079;6717348;761
5213;SOIKKALA;80702;3501886;6831692;491
111989;OTAVA;80711;3504293;6837171;491
7534;ORITLAMPI;81065;3603335;6796773;700
103459;RAUTAKORPI TH;81952;3489840;6742414;286
103472;RANTAHAKA;82563;3500296;6716540;285
8071;KELTAKANGAS;82596;3490489;6737733;286
6967;RYHÄLÄ;83817;3565170;6840718;623
88034;TUOMAALA;84147;3541985;6898764;171
56180;ALASKYLÄ;84973;3290105;6878845;581
201379;OSITUNKULMA;85055;3446398;6814882;081
109662;MURHASAARI TH;85468;3305426;6827196;536
5657;MURHASAARI TH;85469;3305182;6827182;536
201425;TYRVÄÄNKYLÄ TH;85535;3278902;6808097;790
668;VERMASVUORI TH;86477;3361059;6788813;109
652;ILMOILA;86488;3359631;6793299;109
1813;JUUPAJOKI TH;86654;3365000;6857200;177
57767;LIELAHTI TH;86697;3322485;6827623;837
10054;VASKIVESI;86887;3326363;6897295;936
10044;LIEDENPOHJA;87104;3326937;6923737;936
10045;OHTOLA(VIRRAT);87130;3335688;6919410;936
9413;LAHINEN;87262;3341889;6785496;908
17736;KOKKI-HENNA;87432;3417341;6744888;560
9512;ILLO(VAMMALA);88017;3287174;6795411;790
1378;TEVANIEMEN KAUPPA;88191;3292184;6866521;143
120165;KOIJÄRVI;88289;3318576;6763141;061
3716;LUODE;89429;3317630;6877868;980
61189;KONGINKANGAS TH;90321;3437839;6963191;992
